Champion,HP,MP,AD,Attack Speed,Armor,Magic Resistance,Attack Range
Syndra,563,480,54,0.625,25,30,550
Tahm Kench,640,325,56,0.658,42,32,175
Taliyah,550,470,58,0.625,18,30,525
Talon,658,400,68,0.625,30,39,125
Taric,645,300,55,0.625,40,28,150
Teemo,598,334,54,0.69,24,30,500
Thresh,600,274,56,0.625,28,30,450
Tristana,670,250,59,0.656,26,30,525
Trundle,686,340,68,0.67,37,32,175
Tryndamere,696,100,72,0.67,33,32,125
Twisted Fate,604,333,52,0.651,21,30,525
Twitch,682,300,59,0.679,27,30,550
Udyr,664,271,62,0.65,31,32,125
Urgot,655,340,63,0.625,36,32,350
Varus,600,360,62,0.658,27,30,575
Vayne,550,232,60,0.658,23,30,550
Veigar,550,490,52,0.625,18,32,550
Vel'Koz,590,469,55,0.625,22,30,525
Vex,590,490,54,0.669,23,28,550
Vi,655,295,63,0.644,30,32,125
Viego,630,0,57,0.658,34,32,200
Viktor,600,405,53,0.658,23,30,525
Vladimir,607,2,55,0.658,27,30,450
Volibear,650,350,60,0.625,31,32,150
Warwick,620,280,65,0.638,33,32,125
Wukong,610,300,66,0.69,31,28,175
Xayah,660,340,60,0.658,25,30,525
Xerath,596,459,55,0.625,22,30,525
Xin Zhao,640,274,63,0.645,35,32,175
Yasuo,590,100,60,0.697,30,32,175
Yone,620,500,60,0.625,30,32,175
Yorick,650,300,62,0.625,39,32,175
Yuumi,500,440,49,0.625,25,25,425
Zac,685,0,60,0.736,33,32,175
Zed,654,200,63,0.651,32,29,125
Zeri,630,250,53,0.658,24,30,500
Ziggs,606,480,54,0.656,22,30,550
Zilean,574,452,52,0.625,24,30,550
Zoe,630,425,58,0.625,21,30,550
Zyra,574,418,53,0.625,29,30,575
